*IDN? Returned 31 bytes: CMT, C1209, 00000001, 21.4.4/2


           Frequency                 Real                 Imag          Return Loss
   4050055000.000000             0.140139            -0.012584            17.033949
   4095054500.000000             0.097208            -0.042074            19.500213
   4140054000.000000             0.041825            -0.040209            24.728771
   4185053500.000000             0.001194            -0.004472            46.690995
   4230053000.000000            -0.003938             0.046490            26.621800
   4275052500.000000             0.027155             0.084880            21.000682
   4320052000.000000             0.076808             0.088551            18.619885
   4365051500.000000             0.114986             0.054199            17.915793
   4410051000.000000             0.118047             0.001253            18.558396
   4455050500.000000             0.080480            -0.039417            20.952445
   4500050000.000000             0.023077            -0.039433            26.803814
   4545049500.000000            -0.014410             0.006605            35.998415
   4590049000.000000             0.001713             0.071652            22.892928
   4635048500.000000             0.074391             0.109176            17.581188
   4680048000.000000             0.168518             0.082456            14.534918
   4725047500.000000             0.232234            -0.010253            12.673023
   4770047000.000000             0.225481            -0.134165            11.621468
   4815046500.000000             0.143286            -0.232249            11.280152
   4860046000.000000             0.023941            -0.255932            11.799668
   4905045500.000000            -0.064573            -0.198174            13.620842
   4950045000.000000            -0.064546            -0.110142            17.878793
   4995044500.000000             0.025772            -0.082902            21.228033
   5040044000.000000             0.115549            -0.186918            13.161442
   5085043500.000000             0.078936            -0.376284             8.302655
   5130043000.000000            -0.116132            -0.514266             5.560237
   5175042500.000000            -0.377221            -0.491274             4.160695
   5220042000.000000            -0.579342            -0.319031             3.591030
   5265041500.000000            -0.650151            -0.046163             3.717876
   5310041000.000000            -0.513286             0.235366             4.964010
   5355040500.000000            -0.130402             0.321563             9.193459
   5400040000.000000             0.149002            -0.110938            14.620678
   5445039500.000000            -0.257368            -0.494542             5.075052
   5490039000.000000            -0.670919            -0.301110             2.669633
   5535038500.000000            -0.713705             0.093309             2.856023
   5580038000.000000            -0.107433             0.037944            18.866720
   5625037500.000000            -0.880871            -0.272984             0.703491
   5670037000.000000            -0.977179             0.150117             0.099216
   5715036500.000000            -0.912254             0.390829             0.065838
   5760036000.000000            -0.821580             0.552585             0.086212
   5805035500.000000            -0.723814             0.670826             0.114791
   5850035000.000000            -0.624865             0.759735             0.142800
   5895034500.000000            -0.526838             0.827221             0.168918
   5940034000.000000            -0.430764             0.877963             0.193709
   5985033500.000000            -0.336769             0.915417             0.216365
   6030033000.000000            -0.245824             0.941602             0.236303
   6075032500.000000            -0.157981             0.958176             0.254612
   6120032000.000000            -0.073582             0.966364             0.272077
   6165031500.000000             0.008325             0.967616             0.285614
   6210031000.000000             0.085921             0.962176             0.300416
   6255030500.000000             0.160753             0.951099             0.313156
   6300030000.000000             0.232729             0.934834             0.324154
   6345029500.000000             0.301714             0.913983             0.332032
   6390029000.000000             0.367848             0.888999             0.335623
   6435028500.000000             0.427925             0.860802             0.342813
   6480028000.000000             0.485381             0.829080             0.348132
   6525027500.000000             0.539611             0.794201             0.352996
   6570027000.000000             0.590724             0.756565             0.355779
   6615026500.000000             0.638772             0.716068             0.358427
   6660026000.000000             0.683703             0.673082             0.359814
   6705025500.000000             0.725339             0.627974             0.359913
   6750025000.000000             0.763334             0.581335             0.359151
   6795024500.000000             0.797741             0.533644             0.356619
   6840024000.000000             0.828607             0.485028             0.353433
   6885023500.000000             0.856128             0.435505             0.349771
   6930023000.000000             0.880621             0.385291             0.343553
   6975022500.000000             0.901919             0.334303             0.337569
   7020022000.000000             0.920218             0.282132             0.332014
   7065021500.000000             0.935692             0.229203             0.324271
   7110021000.000000             0.948317             0.175336             0.314946
   7155020500.000000             0.958150             0.121103             0.302498
   7200020000.000000             0.965050             0.066636             0.288343
   7245019500.000000             0.968818             0.012348             0.274448
   7290019000.000000             0.969734            -0.041400             0.259039
   7335018500.000000             0.967709            -0.094577             0.243819
   7380018000.000000             0.962804            -0.147087             0.229051
   7425017500.000000             0.955211            -0.199074             0.213364
   7470017000.000000             0.944912            -0.250624             0.196915
   7515016500.000000             0.931810            -0.301721             0.180433
   7560016000.000000             0.916006            -0.352351             0.162749
   7605015500.000000             0.897553            -0.401941             0.145026
   7650015000.000000             0.876760            -0.450341             0.125509
   7695014500.000000             0.853714            -0.497081             0.105868
   7740014000.000000             0.828251            -0.542557             0.086105
   7785013500.000000             0.800368            -0.586916             0.065375
   7830013000.000000             0.769685            -0.630161             0.045765
   7875012500.000000             0.736209            -0.672354             0.025861
   7920012000.000000             0.700172            -0.713010             0.005979
   7965011500.000000             0.662325            -0.751766            -0.016584
   8010011000.000000             0.622798            -0.788230            -0.039700
   8055010500.000000             0.581315            -0.822589            -0.062862
   8100010000.000000             0.537818            -0.854803            -0.085734
   8145009500.000000             0.492107            -0.884743            -0.106985
   8190009000.000000             0.444156            -0.912543            -0.128409
   8235008500.000000             0.394425            -0.938007            -0.151198
   8280008000.000000             0.343337            -0.960806            -0.174629
   8325007500.000000             0.291215            -0.980653            -0.197338
   8370007000.000000             0.238205            -0.997663            -0.220460
   8415006500.000000             0.184081            -1.011619            -0.241815
   8460006000.000000             0.128695            -1.022571            -0.262120
   8505005500.000000             0.072137            -1.030418            -0.281504
   8550005000.000000             0.014521            -1.035333            -0.302451
   8595004500.000000            -0.048118            -1.037865            -0.332144
   8640004000.000000            -0.107349            -1.035931            -0.353002
   8685003500.000000            -0.166028            -1.030602            -0.373097
   8730003000.000000            -0.224045            -1.021744            -0.390800
   8775002500.000000            -0.281699            -1.009379            -0.406817
   8820002000.000000            -0.339407            -0.993551            -0.423159
   8865001500.000000            -0.396443            -0.974348            -0.439597
   8910001000.000000            -0.453050            -0.951456            -0.455277
   8955000500.000000            -0.508875            -0.924808            -0.469725
   9000000000.000000            -0.563272            -0.894349            -0.481061
Press ENTER to close...
